BatchID,MonthSubmitted,DateSubmitted,Day_of_week,PhotosInBatch
172399486,October-2017,10/03/2017,Tuesday,39
172334011,October-2017,10/03/2017,Tuesday,12
172208074,October-2017,10/02/2017,Monday,30
172207762,October-2017,10/02/2017,Monday,40
172021516,October-2017,10/01/2017,Sunday,7
172021474,October-2017,10/01/2017,Sunday,40
172021204,October-2017,10/01/2017,Sunday,40
172020988,October-2017,10/01/2017,Sunday,40
172020613,October-2017,10/01/2017,Sunday,40
171675175,September-2017,09/29/2017,Fraiday,7
171473917,September-2017,09/28/2017,Thursday,6
171411538,September-2017,09/27/2017,Wednesday,14
171411376,September-2017,09/27/2017,Wednesday,30
171372391,September-2017,09/27/2017,Wednesday,27
171181531,September-2017,09/26/2017,Tuesday,38
171111856,September-2017,09/26/2017,Tuesday,13
171111760,September-2017,09/26/2017,Tuesday,30
170974741,September-2017,09/25/2017,Monday,1
170908057,September-2017,09/25/2017,Monday,29
170907928,September-2017,09/25/2017,Monday,40
170907649,September-2017,09/25/2017,Monday,40
170907358,September-2017,09/25/2017,Monday,40
170855308,September-2017,09/24/2017,Sunday,15
170855152,September-2017,09/24/2017,Sunday,40
170854768,September-2017,09/24/2017,Sunday,40
170854408,September-2017,09/24/2017,Sunday,40
170854051,September-2017,09/24/2017,Sunday,40
170355946,September-2017,09/21/2017,Thursday,25
170217865,September-2017,09/20/2017,Wednesday,6
170217745,September-2017,09/20/2017,Wednesday,40
170204386,September-2017,09/20/2017,Wednesday,30
170199739,September-2017,09/20/2017,Wednesday,1
170047837,September-2017,09/19/2017,Tuesday,15
170047642,September-2017,09/19/2017,Tuesday,39
170047195,September-2017,09/19/2017,Tuesday,40
170046856,September-2017,09/19/2017,Tuesday,40
170046457,September-2017,09/19/2017,Tuesday,40
169926697,September-2017,09/18/2017,Monday,2
169926598,September-2017,09/18/2017,Monday,40
169926316,September-2017,09/18/2017,Monday,40
169926013,September-2017,09/18/2017,Monday,39
169866367,September-2017,09/18/2017,Monday,1
169866244,September-2017,09/18/2017,Monday,40
169865800,September-2017,09/18/2017,Monday,39
169551331,September-2017,09/16/2017,Saturday,12
169439974,September-2017,09/15/2017,Fraiday,13
169229527,September-2017,09/14/2017,Thursday,25
169115197,September-2017,09/13/2017,Wednesday,33
169076545,September-2017,09/13/2017,Wednesday,13
169031794,September-2017,09/12/2017,Tuesday,11
169031749,September-2017,09/12/2017,Tuesday,40
169031542,September-2017,09/12/2017,Tuesday,37
168916501,September-2017,09/12/2017,Tuesday,26
168916249,September-2017,09/12/2017,Tuesday,40
168701218,September-2017,09/11/2017,Monday,7
168701152,September-2017,09/11/2017,Monday,40
168700951,September-2017,09/11/2017,Monday,40
168569359,September-2017,09/10/2017,Sunday,17
168569242,September-2017,09/10/2017,Sunday,40
168565360,September-2017,09/10/2017,Sunday,25
168565243,September-2017,09/10/2017,Sunday,40
168564943,September-2017,09/10/2017,Sunday,40
168522781,September-2017,09/09/2017,Saturday,13
168367852,September-2017,09/08/2017,Fraiday,25
168191269,September-2017,09/07/2017,Thursday,12
168040678,September-2017,09/06/2017,Wednesday,15
168040558,September-2017,09/06/2017,Wednesday,40
168030628,September-2017,09/06/2017,Wednesday,2
168029062,September-2017,09/06/2017,Wednesday,7
168012787,September-2017,09/06/2017,Wednesday,9
168012676,September-2017,09/06/2017,Wednesday,40
168012430,September-2017,09/06/2017,Wednesday,40
167741962,September-2017,09/04/2017,Monday,36
167741689,September-2017,09/04/2017,Monday,40
167741362,September-2017,09/04/2017,Monday,40
167740993,September-2017,09/04/2017,Monday,40
167570098,September-2017,09/03/2017,Sunday,11
167570017,September-2017,09/03/2017,Sunday,40
167569639,September-2017,09/03/2017,Sunday,40
167569189,September-2017,09/03/2017,Sunday,40
167563495,September-2017,09/03/2017,Sunday,19
167364319,September-2017,09/02/2017,Saturday,10
167252896,September-2017,09/01/2017,Fraiday,6
167252722,September-2017,09/01/2017,Fraiday,7
167143012,August-2017,08/31/2017,Thursday,24
167016028,August-2017,08/30/2017,Wednesday,24
167015806,August-2017,08/30/2017,Wednesday,6
167015614,August-2017,08/30/2017,Wednesday,16
166837330,August-2017,08/29/2017,Tuesday,8
166837168,August-2017,08/29/2017,Tuesday,40
166707850,August-2017,08/29/2017,Tuesday,7
166707772,August-2017,08/29/2017,Tuesday,40
166578922,August-2017,08/28/2017,Monday,4
166573279,August-2017,08/28/2017,Monday,2
166558888,August-2017,08/28/2017,Monday,20
166558654,August-2017,08/28/2017,Monday,40
166558339,August-2017,08/28/2017,Monday,23
166558012,August-2017,08/28/2017,Monday,39
166557688,August-2017,08/28/2017,Monday,33
166485367,August-2017,08/27/2017,Sunday,30
166485181,August-2017,08/27/2017,Sunday,40
166484905,August-2017,08/27/2017,Sunday,39
166484599,August-2017,08/27/2017,Sunday,40
166294357,August-2017,08/26/2017,Saturday,10
166184944,August-2017,08/25/2017,Fraiday,15
165954139,August-2017,08/23/2017,Wednesday,25
165788977,August-2017,08/23/2017,Wednesday,22
165788755,August-2017,08/23/2017,Wednesday,28
165629851,August-2017,08/22/2017,Tuesday,20
165629500,August-2017,08/22/2017,Tuesday,40
165629056,August-2017,08/22/2017,Tuesday,39
165495820,August-2017,08/21/2017,Monday,5
165495241,August-2017,08/21/2017,Monday,31
165494956,August-2017,08/21/2017,Monday,40
165494569,August-2017,08/21/2017,Monday,40
165493135,August-2017,08/21/2017,Monday,40
165395230,August-2017,08/20/2017,Sunday,35
165395071,August-2017,08/20/2017,Sunday,40
165394834,August-2017,08/20/2017,Sunday,39
165394660,August-2017,08/20/2017,Sunday,38
165172951,August-2017,08/19/2017,Saturday,12
165003535,August-2017,08/18/2017,Fraiday,5
164994202,August-2017,08/17/2017,Thursday,8
164906059,August-2017,08/17/2017,Thursday,12
164778721,August-2017,08/16/2017,Wednesday,2
164778625,August-2017,08/16/2017,Wednesday,40
164778334,August-2017,08/16/2017,Wednesday,40
164491600,August-2017,08/15/2017,Tuesday,3
164491525,August-2017,08/15/2017,Tuesday,40
164491162,August-2017,08/15/2017,Tuesday,40
164361250,August-2017,08/14/2017,Monday,36
164360926,August-2017,08/14/2017,Monday,40
164360527,August-2017,08/14/2017,Monday,40
164360203,August-2017,08/14/2017,Monday,40
164359792,August-2017,08/14/2017,Monday,40
164359189,August-2017,08/14/2017,Monday,40
164358601,August-2017,08/14/2017,Monday,40
164358169,August-2017,08/14/2017,Monday,36
163924933,August-2017,08/11/2017,Fraiday,1
163900576,August-2017,08/11/2017,Fraiday,21
163890289,August-2017,08/10/2017,Thursday,8
163772878,August-2017,08/10/2017,Thursday,18
163550824,August-2017,08/09/2017,Wednesday,10
163550713,August-2017,08/09/2017,Wednesday,40
163473241,August-2017,08/08/2017,Tuesday,5
163471867,August-2017,08/08/2017,Tuesday,25
163471639,August-2017,08/08/2017,Tuesday,40
163471216,August-2017,08/08/2017,Tuesday,35
163211497,August-2017,08/07/2017,Monday,25
163211212,August-2017,08/07/2017,Monday,40
163210648,August-2017,08/07/2017,Monday,40
163210171,August-2017,08/07/2017,Monday,40
163159168,August-2017,08/06/2017,Sunday,30
163158958,August-2017,08/06/2017,Sunday,40
163158736,August-2017,08/06/2017,Sunday,40
163158481,August-2017,08/06/2017,Sunday,40
162955999,August-2017,08/05/2017,Saturday,12
162831640,August-2017,08/04/2017,Fraiday,13
162657055,August-2017,08/03/2017,Thursday,7
162656998,August-2017,08/03/2017,Thursday,18
162494224,August-2017,08/02/2017,Wednesday,10
162494065,August-2017,08/02/2017,Wednesday,40
162421342,August-2017,08/01/2017,Tuesday,9
162421243,August-2017,08/01/2017,Tuesday,40
162420991,August-2017,08/01/2017,Tuesday,40
162315091,August-2017,08/01/2017,Tuesday,11
162214171,July-2017,07/31/2017,Monday,17
162214141,July-2017,07/31/2017,Monday,5
162203071,July-2017,07/31/2017,Monday,1
162198850,July-2017,07/31/2017,Monday,14
162198694,July-2017,07/31/2017,Monday,40
162180838,July-2017,07/31/2017,Monday,9
162180685,July-2017,07/31/2017,Monday,40
162124726,July-2017,07/31/2017,Monday,7
162124564,July-2017,07/31/2017,Monday,38
162035569,July-2017,07/30/2017,Sunday,25
162035386,July-2017,07/30/2017,Sunday,40
162025765,July-2017,07/30/2017,Sunday,5
162025687,July-2017,07/30/2017,Sunday,40
162025315,July-2017,07/30/2017,Sunday,40
161875267,July-2017,07/29/2017,Saturday,18
161774065,July-2017,07/28/2017,Fraiday,1
161738035,July-2017,07/28/2017,Fraiday,13
161615878,July-2017,07/27/2017,Thursday,3
161590783,July-2017,07/27/2017,Thursday,22
161513875,July-2017,07/26/2017,Wednesday,5
161512945,July-2017,07/26/2017,Wednesday,5
161512870,July-2017,07/26/2017,Wednesday,40
