Qurter,Data,Day_of_sale,Day_of_week,Category,ID,Earnings,Downloads
Q3,August-16,08/19/2016,Fraiday,subscription,465449210,0.25,1
Q3,August-16,08/11/2016,Thursday,subscription,465268082,0.25,1
Q3,August-16,08/11/2016,Thursday,subscription,465268094,0.25,1
Q3,August-16,08/20/2016,Saturday,subscription,465268082,0.25,1
Q3,August-16,08/23/2016,Tuesday,subscription,465268082,0.25,1
Q3,August-16,08/25/2016,Thursday,subscription,465268082,0.25,1
Q3,August-16,08/26/2016,Fraiday,subscription,465268082,0.25,1
Q3,August-16,08/29/2016,Monday,subscription,465268106,0.25,1
Q3,August-16,08/29/2016,Monday,subscription,465449195,0.25,1
Q3,August-16,08/29/2016,Monday,subscription,465449210,0.25,1
Q3,August-16,08/22/2016,Monday,subscription,465268115,0.25,1
Q3,September-16,09/06/2016,Tuesday,subscription,465900986,0.25,1
Q3,September-16,09/14/2016,Wednesday,subscription,482079241,0.25,1
Q3,September-16,09/14/2016,Wednesday,subscription,482079325,0.25,1
Q3,September-16,09/07/2016,Wednesday,subscription,478458892,0.25,1
Q3,September-16,09/07/2016,Wednesday,subscription,478458934,0.25,1
Q3,September-16,09/07/2016,Wednesday,subscription,479754769,0.25,1
Q3,September-16,09/15/2016,Thursday,subscription,482079355,0.25,1
Q3,September-16,09/15/2016,Thursday,subscription,483120823,0.25,1
Q3,September-16,09/15/2016,Thursday,subscription,483121048,0.25,1
Q3,September-16,09/12/2016,Monday,subscription,482079355,0.25,1
Q3,September-16,09/16/2016,Fraiday,subscription,480328726,0.25,1
Q3,September-16,09/16/2016,Fraiday,subscription,482079355,0.25,1
Q3,September-16,09/16/2016,Fraiday,subscription,482079373,0.25,1
Q3,September-16,09/19/2016,Monday,subscription,465449219,0.25,1
Q3,September-16,09/19/2016,Monday,subscription,482079241,0.25,1
Q3,September-16,09/20/2016,Tuesday,subscription,465268082,0.25,1
Q3,September-16,09/20/2016,Tuesday,subscription,485515309,0.25,1
Q3,September-16,09/20/2016,Tuesday,subscription,485515327,0.25,1
